#q_sq i k_sq Re(w) Im(w)
0.000512481 1 1e-06 0.133954 0
0.000512481 1 1.55052e-06 0.133392 0
0.000512481 1 2.4041e-06 0.13253 0
0.000512481 1 3.72759e-06 0.131562 0
0.000512481 1 5.77969e-06 0.132696 0
0.000512481 1 8.96151e-06 0.132659 0
0.000512481 1 1.3895e-05 0.132944 0
0.000512481 1 2.15443e-05 0.132064 0
0.000512481 1 3.34048e-05 0.132393 0
0.000512481 1 5.17947e-05 0.132817 0
0.000512481 1 8.03086e-05 0.13309 0
0.000512481 1 0.00012452 0.132687 0
0.000512481 1 0.00019307 0.132719 0
0.000512481 1 0.000299358 0.132244 0
0.000512481 1 0.000464159 0.132396 0
0.000512481 1 0.000719686 0.13172 0
0.000512481 1 0.00111588 0.131922 0
0.000512481 1 0.0017302 0.130104 0
0.000512481 1 0.0026827 0.129626 0
0.000512481 1 0.00415956 0.128375 0
0.000512481 1 0.00644947 0.126376 0
0.000512481 1 0.01 0.122015 0
0.000512481 1 0.0155052 0.11458 0
0.000512481 1 0.024041 0.103778 0
0.000512481 1 0.0372759 0.0881878 0
0.000512481 1 0.0577969 0.0659284 0
0.000512481 1 0.0896151 0.0348624 0
0.000512481 1 0.13895 -0.0066581 0
0.000512481 1 0.215443 -0.05801 0
0.000512481 1 0.334048 -0.113197 0
0.000512481 1 0.517947 -0.157919 0
0.000512481 1 0.803086 -0.173005 0
0.000512481 1 1.2452 -0.151299 0
0.000512481 1 1.9307 -0.0970624 0
0.000512481 1 2.99358 -0.0527565 0
0.000512481 1 4.64159 -0.0265083 0
0.000512481 1 7.19686 -0.0128183 0
0.000512481 1 11.1588 -0.00604508 0
0.000512481 1 17.302 -0.00280849 0
0.000512481 1 26.827 -0.0012972 0
0.000512481 1 41.5956 -0.000600518 0
0.000512481 1 64.4947 -0.000280605 0
0.000512481 1 100 -0.000134434 0
0.000512481 1 155.052 -6.83808e-05 0
0.000512481 1 240.41 -3.27801e-05 0
0.000512481 1 372.759 -1.48445e-05 0
0.000512481 1 577.969 -6.9377e-06 0
0.000512481 1 896.151 -3.76268e-06 0
0.000512481 1 1389.5 -2.17744e-06 0
0.000512481 1 2154.43 -1.24608e-06 0
0.000512481 1 3340.48 -7.30385e-07 0
0.000512481 1 5179.47 -4.29994e-07 0
0.000512481 1 8030.86 -2.50049e-07 0
0.000512481 1 12452 -1.48629e-07 0
0.000512481 1 19307 -8.86924e-08 0
0.000512481 1 29935.8 -5.23609e-08 0
0.000512481 1 46415.9 -3.14881e-08 0
0.000512481 1 71968.6 -1.8749e-08 0
0.000512481 1 111588 -1.13496e-08 0
0.000512481 1 173020 -6.80908e-09 0
0.000512481 1 268270 -4.12945e-09 0
0.000512481 1 415956 -2.48954e-09 0
0.000512481 1 644947 -1.52562e-09 0
0.000512481 1 1e+06 -9.23426e-10 0

0.00124961 1 1e-06 0.136594 0
0.00124961 1 1.55052e-06 0.136171 0
0.00124961 1 2.4041e-06 0.135661 0
0.00124961 1 3.72759e-06 0.135203 0
0.00124961 1 5.77969e-06 0.134566 0
0.00124961 1 8.96151e-06 0.133249 0
0.00124961 1 1.3895e-05 0.132164 0
0.00124961 1 2.15443e-05 0.132699 0
0.00124961 1 3.34048e-05 0.131645 0
0.00124961 1 5.17947e-05 0.132819 0
0.00124961 1 8.03086e-05 0.132738 0
0.00124961 1 0.00012452 0.132512 0
0.00124961 1 0.00019307 0.131947 0
0.00124961 1 0.000299358 0.132552 0
0.00124961 1 0.000464159 0.131817 0
0.00124961 1 0.000719686 0.131747 0
0.00124961 1 0.00111588 0.130954 0
0.00124961 1 0.0017302 0.130361 0
0.00124961 1 0.0026827 0.129193 0
0.00124961 1 0.00415956 0.1277 0
0.00124961 1 0.00644947 0.124187 0
0.00124961 1 0.01 0.119859 0
0.00124961 1 0.0155052 0.11326 0
0.00124961 1 0.024041 0.103001 0
0.00124961 1 0.0372759 0.0877605 0
0.00124961 1 0.0577969 0.0657218 0
0.00124961 1 0.0896151 0.0347918 0
0.00124961 1 0.13895 -0.0066494 0
0.00124961 1 0.215443 -0.057961 0
0.00124961 1 0.334048 -0.113135 0
0.00124961 1 0.517947 -0.157864 0
0.00124961 1 0.803086 -0.175665 0
0.00124961 1 1.2452 -0.151036 0
0.00124961 1 1.9307 -0.0970533 0
0.00124961 1 2.99358 -0.0527533 0
0.00124961 1 4.64159 -0.0265073 0
0.00124961 1 7.19686 -0.012818 0
